MealType,Meal
Breakfast,Oats with fruits
Breakfast,Yogurt
Breakfast,Avocado toast
Breakfast,Smoothie bowl
Breakfast,Upma
Breakfast,Poha
Breakfast,Idli
Breakfast,Pancakes
Breakfast,Boiled eggs
Breakfast,Green smoothie

Lunch,Brown rice with tofu
Lunch,Salad
Lunch,Lentil curry
Lunch,Quinoa bowl
Lunch,Chickpea salad
Lunch,Stuffed paratha
Lunch,Mixed veg pulao
Lunch,Sambar rice
Lunch,Roti with dal
Lunch,Grilled paneer wrap

Dinner,Grilled chicken
Dinner,Veg soup
Dinner,Paneer bhurji
Dinner,Cucumber salad
Dinner,Salmon with veggies
Dinner,Chole and rice
Dinner,Chapati with sabzi
Dinner,Steamed broccoli
Dinner,Egg curry
Dinner,Jeera rice
